Generation,Alive,AvgHealth,AvgHunger,Apples,AvgMaxQ,LeaderGenes
176895579.7616,6,89.05555555555618,-15.649999999996576,23,1.6244479889554981,41.01782207633027
176895579.7651,6,56.23333333333582,-65.64999999999485,23,1.6244479889554981,41.01782207633027
176895579.7685,6,22.900000000003335,-115.64999999999202,23,1.6244479889554981,41.01782207633027
176895579.7719,1,3.066666666669782,-145.39999999999526,23,4.8101942747329876,0
176895581.9761,6,100,62.85000000000212,17,4.06151245336518,56.02118121530807
176895581.9796,6,100,12.850000000003618,17,4.06151245336518,56.02118121530807
176895581.9831,6,75.23333333333474,-37.149999999996204,17,4.06151245336518,56.02118121530807
176895581.9865,6,41.9000000000033,-87.14999999999363,17,4.06151245336518,56.02118121530807
176895581.99,6,8.566666666669827,-137.14999999999407,17,4.06151245336518,56.02118121530807
176895584.1942,6,100,80.20833333333445,18,1.5805958205784931,47.47708447838941
176895584.1976,6,100,35.42500000000356,15,2.314162518570634,47.47708447838941
176895584.2011,6,91.12777777777829,-7.908333333329527,14,3.1063514385236854,47.47708447838941
176895584.2046,6,61.39444444444664,-57.90833333332827,14,3.1063514385236854,47.47708447838941
176895584.208,6,28.061111111114354,-107.90833333332546,14,3.1063514385236854,47.47708447838941
176895584.2115,2,10.800000000003088,-133.79999999999166,14,6.828554315571056,0
176895586.4157,6,100,70.00833333333505,17,0.8316666666666667,62.97837381663073
176895586.4192,6,100,26.675000000003838,16,1.5888492797529803,62.97837381663073
176895586.4227,6,83.33888888888983,-23.32499999999632,16,1.5888492797529803,62.97837381663073
176895586.4261,6,51.11666666666944,-73.32499999999403,16,1.5888492797529803,62.97837381663073
176895586.4296,6,17.78333333333647,-123.32499999999165,16,1.5888492797529803,62.97837381663073
176895586.433,1,6.666666666669769,-139.99999999999176,16,4.543095678517882,0
176895588.6372,6,100,70.95000000000165,13,3.427717302802138,62.14797465812908
176895588.6407,6,100,20.950000000003666,13,3.427717302802138,62.14797465812908
176895588.6441,6,80.63333333333445,-29.04999999999647,13,3.427717302802138,62.14797465812908
176895588.6476,6,47.300000000002996,-79.0499999999941,13,3.427717302802138,62.14797465812908
176895588.6511,6,13.966666666669875,-129.04999999999288,13,3.427717302802138,62.14797465812908
176895590.8553,6,100,81.35000000000106,16,0.8220677511661038,48.206221341181184
176895590.8587,6,100,38.016666666670474,15,1.6261002697834652,48.206221341181184
176895590.8622,6,89.78888888888946,-5.316666666662681,14,1.6389721563181514,48.206221341181184
176895590.8657,6,62.01111111111327,-55.31666666666089,14,1.6389721563181514,48.206221341181184
176895590.8691,6,29.788888888891908,-105.31666666665852,14,1.6389721563181514,48.206221341181184
176895590.8726,1,40.00000000000341,-89.99999999998893,14,4.901426430912286,0
176895590.876,1,6.666666666669769,-139.99999999998948,14,4.901426430912286,0
176895593.0802,7,100,68.32142857143037,13,3.2340863295121633,34.935480510263545
176895593.0838,7,100,24.035714285718047,12,3.9196303064248945,34.935480510263545
176895593.0872,7,82.69047619047717,-25.96428571428185,12,3.9196303064248945,34.935480510263545
176895593.0907,7,49.35714285714573,-75.96428571427967,12,3.9196303064248945,34.935480510263545
